point,latitude,longitude,state,radians_parallel,length_parallel,radians_orthogonal,length_orthogonal
313,-10.3036,-36.240002,AL ,0,,0,3.4100001
131,-10.26,-36.259998,AL ,0,4.21,0,3.45
138,-10.05,-36.029999,AL ,0,4.0599999,0,3.45
139,-9.9399996,-35.959999,AL ,0,3.8599999,0,3.45
132,-9.8500004,-35.91,AL ,0,3.5999999,0,3.45
140,-9.79,-35.860001,AL ,0,3.4300001,0,3.45
133,-9.71,-35.790001,AL ,0,3.1400001,0,3.45
134,-9.4899998,-35.560001,AL ,0,2.52,0,3.45
141,-9.4399996,-35.529999,AL ,0,2.3199999,0,3.45
142,-9.3599997,-35.470001,AL ,0,2.1199999,0,3.45
135,-9.2799997,-35.389999,AL ,0,1.88,0,3.4400001
143,-9.2299995,-35.34,AL ,0,1.71,0,3.4400001
144,-9.1599998,-35.299999,AL ,0,1.53,0,3.4400001
155,-9.0600004,-35.240002,AL ,0,1.25,0,3.4400001
145,-8.9099998,-35.150002,AL ,0,0.87,0,3.4400001
156,-8.8599997,-35.130001,AL ,0,0.70999998,0,3.4400001
146,-8.7799997,-35.099998,AL ,0,0.54000002,0,3.4400001
147,-8.6899996,-35.09,AL ,0,0.28999999,0,3.45
157,-8.6000004,-35.049999,AL ,0,0.05,0,3.45
312,-8.5452003,-35.090801,AL ,0,,0,3.45
314,0.45539999,-49.5424,AP,0,,0,4.0100002
251,0.69999999,-50.23,AP,0,0.91000003,0,2
252,1.24,-49.91,AP,0,1.14,0,2.5
253,2.1500001,-50.689999,AP,0,2.8699999,0,3.8
254,3.9200001,-51.150002,AP,0,3.77,0,3.5
255,4.5,-51.639999,AP,0,3.78,0,3.6199999
121,-12.4,-37.889999,BA1,0,2.0799999,0,3.5
122,-12.22,-37.759998,BA1,0,1.77,0,3.5
123,-12.1,-37.689999,BA1,0,1.45,0,3.5
124,-11.74,-37.52,BA1,0,0.97000003,0,3.51
125,-11.44,-37.34,BA1,0,0.34,0,3.51
126,-11.29,-37.259998,BA1,0,0.05,0,3.51
311,-18.34,-39.669998,BA2,0,0.05,0,3.8900001
96,-18,-39.490002,BA2,0,4.3600001,0,4.29
97,-17.82,-39.279999,BA2,0,4.1500001,0,4.1500001
98,-17.68,-39.139999,BA2,0,4,0,4.0599999
99,-17.440001,-39.189999,BA2,0,4.0100002,0,4.1399999
100,-16.889999,-39.119999,BA2,0,3.8199999,0,3.97
101,-16.34,-39.009998,BA2,0,3.5899999,0,3.8
102,-16.09,-38.950001,BA2,0,3.54,0,3.6800001
