point,latitude,longitude,azimuth,degrees ,radians,length
1,4.303,-51.3812,221.3,48.7,0.849975346,3.43
2,0.4554,-49.5424,225.232262,44.767738,0.781344427,4.01
3,-1.06,-46.0312,207.233594,62.766406,1.095480444,3.53
4,-2.15,-44,,,,
5,-2.4404,-41.4839,205.040673,64.959327,1.17,3.27
6,-2.5508,-41.1921,196.062557,73.937443,1.25,3.23
7,-2.4704,-40.3,,,,
8,-4.4953,-37.151,206.325919,63.674081,1.111322362,3.23
9,-6.2908,-34.5809,252.045486,17.954514,0.313365385,3.18
10,-5.3025,-35.3,,,,
11,-7.3301,-34.4956,272.535963,-2.535963,-0.044260904,3.1
12,-8.5452,-35.0908,295.262452,-25.262452,-0.440912965,3.51
13,-10.3036,-36.24,311.145982,-41.145982,-0.71813286,3.45
14,-11.2632,-37.1958,309.084859,-39.084859,-0.682159477,3.47
15,-12.5716,-38.212,,,,
16,-18.34,-39.67,287.474855,-17.474855,-0.304993756,3.82
17,-21.3,-40.96,296.324978,-26.324978,-0.459457542,3.58
18,-22.4449,-41.5254,,,,
19,-23.37,-44.73,327.290707,-57.290707,-0.999911468,3.76
20,-24.0145,-45.1644,,,,
21,-25.191,-48.0456,311.442324,-41.442324,-0.66,4.45
22,-25.5836,-48.3525,298.175153,-28.175153,-0.56,4.38
23,-28.252,-48.4423,,,,
24,-29.1934,-49.424,305.162463,-35.162463,-0.613700752,3.66
25,-33.44294,-53.22211,308,-38,-0.663225116,3.9
