pol_ID_orthogonal,munic_code_orthogonal
chunk_1_1,1502509
chunk_1_2,1600303
chunk_1_3,1600105
chunk_1_4,1600204
chunk_1_5,1600501
chunk_2_1,1502509
chunk_2_2,1507904
chunk_2_3,1506302
chunk_2_4,1502608
chunk_2_5,1507102
chunk_2_6,1502905
chunk_2_7,1504406
chunk_2_8,1504307
chunk_2_9,1506203
chunk_2_10,1507474
chunk_2_11,1506112
chunk_2_12,1508035
chunk_2_13,1501709
chunk_2_14,1500909
chunk_2_15,1508308
chunk_2_16,2102903
chunk_2_17,2102903
chunk_2_18,2106201
chunk_2_19,2104305
chunk_2_20,2102606
chunk_2_21,2112407
chunk_2_22,2101301
chunk_2_23,2100832
chunk_2_24,2111789
chunk_2_25,2111789
chunk_2_26,2103703
chunk_2_27,2109056
chunk_2_28,2103109
chunk_2_29,2100204
chunk_2_30,2111300
chunk_2_31,2109452
chunk_2_32,2105104
chunk_2_33,2105005
chunk_2_34,2105005
chunk_2_35,2109403
chunk_2_36,2110278
chunk_2_37,2101707
chunk_2_38,2108058
chunk_2_39,2112506
chunk_2_40,2100907
chunk_2_41,2204659
chunk_2_42,2205706
chunk_2_43,2207702
chunk_2_44,2202083
chunk_2_45,2202083
chunk_2_46,2302057
chunk_2_47,2302602
chunk_2_48,2307254
chunk_2_49,2304251
chunk_2_50,2300200
chunk_2_51,2306553
chunk_2_52,2300754
chunk_2_53,2306405
chunk_2_54,2313500
chunk_2_55,2310258
chunk_2_56,2310209
chunk_2_57,2312403
chunk_2_58,2303709
chunk_2_59,2304400
chunk_2_60,2301000
chunk_2_61,2303501
chunk_2_62,2302206
chunk_2_63,2304459
chunk_2_64,2301109
chunk_2_65,2305357
chunk_2_66,2411056
chunk_2_67,2411056
chunk_2_68,2305357
chunk_2_69,2404408
chunk_2_70,2401107
chunk_2_71,2410256
chunk_2_72,2407203
chunk_2_73,2404507
chunk_2_74,2404101
chunk_2_75,2401859
chunk_2_76,2411601
chunk_2_77,2409506
chunk_2_78,2412559
chunk_2_79,2414407
chunk_2_80,2408953
chunk_3_1,3300258
chunk_3_2,3300233
chunk_3_3,3300704
chunk_3_4,3301306
chunk_3_5,3304524
chunk_3_6,3302403
chunk_3_7,3300936
chunk_3_8,3304151
chunk_3_9,3301009
chunk_3_10,3305000
chunk_3_11,3304755
chunk_3_12,3204302
chunk_3_13,3203320
chunk_3_14,3202801
chunk_3_15,3204203
chunk_3_16,3200409
chunk_3_17,3202405
chunk_3_18,3205200
chunk_3_19,3205309
chunk_3_20,3205002
chunk_3_21,3202207
chunk_3_22,3200607
chunk_3_23,3203205
chunk_3_24,3204906
chunk_3_25,3201605
chunk_3_26,3201605
chunk_3_27,3201605
chunk_3_28,2922003
chunk_3_29,2923001
chunk_3_30,2906907
chunk_3_31,2900801
chunk_3_32,2925501
chunk_3_33,2925303
chunk_3_34,2927705
chunk_3_35,2903409
chunk_3_36,2906303
chunk_3_37,2932507
chunk_3_38,2913606
chunk_3_39,2932705
