pol_ID_parallel,munic_code_parallel
chunk_1_1,1600303
chunk_1_2,1600105
chunk_1_3,1600204
chunk_1_4,1600501
chunk_2_1,1502509
chunk_2_2,1507904
chunk_2_3,1507904
chunk_2_4,1504406
chunk_2_5,1504307
chunk_2_6,1504307
chunk_2_7,1504307
chunk_2_8,1506203
chunk_2_9,1507474
chunk_2_10,1506112
chunk_2_11,1508035
chunk_2_12,1501709
chunk_2_13,1508308
chunk_2_14,2102903
chunk_2_15,2104305
chunk_2_16,2102606
chunk_2_17,2100832
chunk_2_18,2100832
chunk_2_19,2100832
chunk_2_20,2103703
chunk_2_21,2109056
chunk_2_22,2103109
chunk_2_23,2104909
chunk_2_24,2100204
chunk_2_25,2105104
chunk_2_26,2110278
chunk_2_27,2101707
chunk_2_28,2108058
chunk_2_29,2100907
chunk_2_30,2207702
chunk_2_31,2205706
chunk_2_32,2202083
chunk_2_33,2300200
chunk_2_34,2306553
chunk_2_35,2300754
chunk_2_36,2306405
chunk_2_37,2313500
chunk_2_38,2310258
chunk_2_39,2310209
chunk_2_40,2312403
chunk_2_41,2303709
chunk_2_42,2304400
chunk_2_43,2301000
chunk_2_44,2303501
chunk_2_45,2302206
chunk_2_46,2304459
chunk_2_47,2301109
chunk_2_48,2305357
chunk_2_49,2411056
chunk_2_50,2404408
chunk_2_51,2410256
chunk_2_52,2409506
chunk_2_53,2412559
chunk_2_54,2414407
chunk_2_55,2408953
chunk_3_1,3300258
chunk_3_2,3300233
chunk_3_3,3300704
chunk_3_4,3301306
chunk_3_5,3304524
chunk_3_6,3302403
chunk_3_7,3300936
chunk_3_8,3304151
chunk_3_9,3301009
chunk_3_10,3305000
chunk_3_11,3304755
chunk_3_12,3204302
chunk_3_13,3203320
chunk_3_14,3202801
chunk_3_15,3204203
chunk_3_16,3200409
chunk_3_17,3202405
chunk_3_18,3205200
chunk_3_19,3205309
chunk_3_20,3205002
chunk_3_21,3202207
chunk_3_22,3200607
chunk_3_23,3203205
chunk_3_24,3204906
chunk_3_25,3201605
chunk_3_26,2922003
chunk_3_27,2923001
chunk_3_28,2906907
chunk_3_29,2900801
chunk_3_30,2925501
chunk_3_31,2925303
chunk_3_32,2927705
chunk_3_33,2903409
chunk_3_34,2906303
chunk_3_35,2932507
chunk_3_36,2913606
chunk_3_37,2932705
chunk_3_38,2914901
chunk_3_39,2920700
chunk_3_40,2905800
chunk_3_41,2913457
chunk_3_42,2917300
chunk_3_43,2922607
chunk_3_44,2905404
chunk_3_45,2932903
chunk_3_46,2917805
chunk_3_47,2933208
chunk_3_48,2927408
chunk_3_49,2919207
chunk_3_50,2905701
chunk_3_51,2921005
chunk_3_52,2910503
chunk_3_53,2910602
chunk_3_54,2908606
chunk_3_55,2917904
chunk_3_56,2802106
chunk_3_57,2803203
chunk_3_58,2800308
chunk_3_59,2800605
chunk_3_60,2805307
chunk_3_61,2804904
chunk_3_62,2800704
chunk_3_63,2706802
chunk_3_64,2702702
chunk_3_65,2702306
chunk_3_66,2703759
chunk_3_67,707800
chunk_3_68,2700607
chunk_3_69,2704708
chunk_3_70,2704302
chunk_3_71,2706448
chunk_3_72,2700508
chunk_3_73,2706505
chunk_3_74,2708709
chunk_3_75,2707404
chunk_3_76,2703601
chunk_3_77,2704500
chunk_3_78,2613404
chunk_3_79,2601409
chunk_3_80,2614857
chunk_3_81,2614204
chunk_3_82,2607208
chunk_3_83,2602902
chunk_3_84,2607901
chunk_3_85,2611606
chunk_3_86,2609600
chunk_3_87,2610707
chunk_3_88,2606804
chunk_3_89,2607604
chunk_3_90,2606200
chunk_3_91,2511905
chunk_3_92,2504603
chunk_3_93,2507507
chunk_3_94,2507507
chunk_3_95,2503209
chunk_3_96,2508604
chunk_3_97,2512903
chunk_3_98,2509057
chunk_3_99,2501401
chunk_3_100,2509305
chunk_3_101,2401404
chunk_3_102,2402204
chunk_3_103,2414209
chunk_3_104,2413201
chunk_3_105,2408201
chunk_3_106,2403251
chunk_3_107,2408102
chunk_3_108,2403608
chunk_3_109,2402600
chunk_3_110,2407500
chunk_4_1,3509908
chunk_4_2,3520426
chunk_4_3,3520301
chunk_4_4,3537602
chunk_4_5,3522109
chunk_4_6,3531100
chunk_4_7,3541000
chunk_4_8,3518701
chunk_4_9,3520400
chunk_4_10,3550704
chunk_4_11,3510500
chunk_4_12,3555406
chunk_4_13,3555406
chunk_4_14,3303807
chunk_4_15,3300100
chunk_4_16,3302601
chunk_4_17,3304557
chunk_5_1,4317301
chunk_5_2,4315602
chunk_5_3,4318507
chunk_5_4,4321352
chunk_5_5,4312500
chunk_5_6,4313656
chunk_5_7,4301636
chunk_5_8,4305454
chunk_5_9,4321600
chunk_5_10,4310330
chunk_5_11,4313508
chunk_5_12,4323804
chunk_5_13,4304630
chunk_5_14,4321436
chunk_5_15,4301057
chunk_5_16,4321501
chunk_5_17,4212254
chunk_5_18,4202073
chunk_5_19,4201950
chunk_5_20,4201406
chunk_5_21,4220000
chunk_5_22,4208807
chunk_5_23,4209409
chunk_5_24,4207304
chunk_5_25,4205704
chunk_5_26,4212304
chunk_5_27,4211900
chunk_5_28,4205407
chunk_5_29,4206009
chunk_5_30,4218004
chunk_5_31,4202453
chunk_5_32,4208302
chunk_5_33,4202008
chunk_5_34,4208203
chunk_5_35,4211306
chunk_5_36,4212502
chunk_5_37,4212809
chunk_5_38,4202107
chunk_5_39,4201307
chunk_5_40,4202057
chunk_5_41,4216206
chunk_5_42,4216206
chunk_5_43,4208450
chunk_5_44,4109609
chunk_5_45,4115705
chunk_5_46,4119954
chunk_5_47,4109500
