,state,point,latitude,longitude,radians_parallel,length_parallel,radians_orthogonal,length_orthogonal,perp_slope,slope,end_longitude,end_latitude,chunk,lead_lat,lead_lon,lead_end_lat,lead_end_lon,pol_ID_parallel,
3.1,AL,131,-10.26,-36.259998,0,4.21,-0.578865856,3.45,-0.653548681,1.530107901,-32.049998,-10.26,3,-10.05,-36.029999,-10.05,-31.9699991,chunk_3_61,2800605
3.3,AL,138,-10.05,-36.029999,0,4.0599999,-0.578865856,3.45,-0.653548681,1.530107901,-31.9699991,-10.05,3,-9.9399996,-35.959999,-9.9399996,-32.0999991,chunk_3_62,2805307
3.4,AL,139,-9.9399996,-35.959999,0,3.8599999,-0.578865856,3.45,-0.653548681,1.530107901,-32.0999991,-9.9399996,3,-9.8500004,-35.91,-9.8500004,-32.3100001,chunk_3_63,2804904
3.5,AL,132,-9.8500004,-35.91,0,3.5999999,-0.578865856,3.45,-0.653548681,1.530107901,-32.3100001,-9.8500004,3,-9.79,-35.860001,-9.79,-32.4300009,chunk_3_64,2800704
3.6,AL,140,-9.79,-35.860001,0,3.4300001,-0.578865856,3.45,-0.653548681,1.530107901,-32.4300009,-9.79,3,-9.71,-35.790001,-9.71,-32.6500009,chunk_3_65,
3.7,AL,133,-9.71,-35.790001,0,3.1400001,-0.578865856,3.45,-0.653548681,1.530107901,-32.6500009,-9.71,3,-9.4899998,-35.560001,-9.4899998,-33.040001,chunk_3_66,2706802
3.8,AL,134,-9.4899998,-35.560001,0,2.52,-0.578865856,3.45,-0.653548681,1.530107901,-33.040001,-9.4899998,3,-9.4399996,-35.529999,-9.4399996,-33.2099991,chunk_3_67,2702702
3.9,AL,141,-9.4399996,-35.529999,0,2.3199999,-0.578865856,3.45,-0.653548681,1.530107901,-33.2099991,-9.4399996,3,-9.3599997,-35.470001,-9.3599997,-33.3500011,chunk_3_68,2702306
3.1,AL,142,-9.3599997,-35.470001,0,2.1199999,-0.578865856,3.45,-0.653548681,1.530107901,-33.3500011,-9.3599997,3,-9.2799997,-35.389999,-9.2799997,-33.509999,chunk_3_69,2703759
3.11,AL,135,-9.2799997,-35.389999,0,1.88,-0.578865856,3.4400001,-0.653548681,1.530107901,-33.509999,-9.2799997,3,-9.2299995,-35.34,-9.2299995,-33.63,chunk_3_70,2707800
3.12,AL,143,-9.2299995,-35.34,0,1.71,-0.578865856,3.4400001,-0.653548681,1.530107901,-33.63,-9.2299995,3,-9.1599998,-35.299999,-9.1599998,-33.769999,chunk_3_71,2700607
3.13,AL,144,-9.1599998,-35.299999,0,1.53,-0.578865856,3.4400001,-0.653548681,1.530107901,-33.769999,-9.1599998,3,-9.0600004,-35.240002,-9.0600004,-33.990002,chunk_3_72,2704708
3.14,AL,155,-9.0600004,-35.240002,0,1.25,-0.578865856,3.4400001,-0.653548681,1.530107901,-33.990002,-9.0600004,3,-8.9099998,-35.150002,-8.9099998,-34.280002,chunk_3_73,2704302
3.15,AL,145,-8.9099998,-35.150002,0,0.87,-0.578865856,3.4400001,-0.653548681,1.530107901,-34.280002,-8.9099998,3,-8.8599997,-35.130001,-8.8599997,-34.42000102,chunk_3_74,2706448
3.16,AL,156,-8.8599997,-35.130001,0,0.70999998,-0.578865856,3.4400001,-0.653548681,1.530107901,-34.42000102,-8.8599997,3,-8.7799997,-35.099998,-8.7799997,-34.55999798,chunk_3_75,2700508
3.17,AL,146,-8.7799997,-35.099998,0,0.54000002,-0.578865856,3.4400001,-0.653548681,1.530107901,-34.55999798,-8.7799997,3,-8.6899996,-35.09,-8.6899996,-34.80000001,chunk_3_76,2706505
3.19,AL,147,-8.6899996,-35.09,0,0.28999999,-0.578865856,3.45,-0.653548681,1.530107901,-34.80000001,-8.6899996,3,-8.3699999,-34.959999,-8.3699999,-31.479999,chunk_3_77,2708709
1.24,AP,251,0.69999999,-50.23,0,0.91000003,0.445818577,2,0.477908306,-2.092451599,-49.31999997,0.69999999,1,1.24,-49.91,1.24,-48.77,chunk_1_1,
1.25,AP,252,1.24,-49.91,0,1.14,0.445818577,2.5,0.477908306,-2.092451599,-48.77,1.24,1,2.1500001,-50.689999,2.1500001,-47.8199991,chunk_1_2,
1.23,AP,253,2.1500001,-50.689999,0,2.8699999,0.445818577,3.8,0.477908306,-2.092451599,-47.8199991,2.1500001,1,3.9200001,-51.150002,3.9200001,-47.380002,chunk_1_3,
1.22,AP,254,3.9200001,-51.150002,0,3.77,0.445818577,3.5,0.477908306,-2.092451599,-47.380002,3.9200001,1,4.5,-51.639999,4.5,-47.859999,chunk_1_4,
