"","pol_ID_parallel","pol_ID_orthogonal","well_ID","POCO","CADASTRO","OPERADOR","POCO_OPERADOR","ESTADO","BACIA","BLOCO","SIG_CAMPO","CAMPO","TERRA_MAR","POCO_POS_ANP","TIPO","CATEGORIA","RECLASSIFICACAO","SITUACAO","INICIO","TERMINO","CONCLUSAO","TITULARIDADE","LATITUDE_BASE_4C","LONGITUDE_BASE_4C","LATITUDE_BASE_DD","LONGITUDE_BASE_DD","DATUM_HORIZONTAL","TIPO_DE_COORDENADA_DE_BASE","DIRECAO","PROFUNDIDADE_VERTICAL_M","PROFUNDIDADE_SONDADOR_M","PROFUNDIDADE_MEDIDA_M","REFERENCIA_DE_PROFUNDIDADE","MESA_ROTATIVA","COTA_ALTIMETRICA_M","LAMINA_D_AGUA_M","DATUM_VERTICAL","UNIDADE_ESTRATIGRAFICA","GEOLOGIA_GRUPO_FINAL","GEOLOGIA_FORMACAO_FINAL","GEOLOGIA_MEMBRO_FINAL","CDPE","AGP","PC","PAG","PERFIS_CONVENCIONAIS","DURANTE_PERFURACAO","PERFIS_DIGITAIS","PERFIS_PROCESSADOS","PERFIS_ESPECIAIS","AMOSTRA_LATERAL","SISMICA","TABELA_TEMPO_PROFUNDIDADE","DADOS_DIRECIONAIS","TESTE_A_CABO","TESTE_DE_FORMACAO","CANHONEIO","TESTEMUNHO","GEOQUIMICA","SIG_SONDA","NOM_SONDA","DHA_ATUALIZACAO","Begin_Year","Conclusion_Year","End_Year","Type","Success","munic_code_orthogonal","munic_code_parallel"
"1","chunk_1_1","chunk_1_1",3902,"1-PAS-24-PA",600510057200,"","1PAS 0024  PA","PA","Foz do Amazonas","Brasil","","","M","N","Exploratório","Pioneiro","SECO SEM INDÍCIOS","ABANDONADO PERMANENTEMENTE","2/2/1987 0:00","4/6/1987 0:00","4/6/1987 0:00","Público","+00:56:08,939","-49:32:54,950",0.9358163888,-49.5485972222,"SIRGAS2000","Definitiva","Vertical",NA,4259,NA,"MR",28,NA,15,"NM",NA,"","","","","Existe","Existe","","","","Existe","","","","Existe","Existe","","","","","","Existe","GHI9                          ","","3/1/2020 5:00",1987,1987,1987,"Exploratory","Unsuccessfull",1502509,1600303
"2","chunk_1_2","chunk_1_2",5435,"1-PAS-2-PA",600510036900,"","1PAS 0002  PA","PA","Foz do Amazonas","Brasil","","","M","N","Exploratório","Pioneiro","ABANDONADO POR ACIDENTE MECÂNICO","ABANDONADO PERMANENTEMENTE","10/12/1978 0:00","10/17/1978 0:00","10/17/1978 0:00","Público","+01:39:39,815","-48:23:48,360",1.6610597222,-48.3967666666,"SIRGAS2000","Definitiva","Vertical",NA,252,NA,"MR",24.7,NA,38.4,"NM",NA,"","","","","Existe","","","","","","","","","","","","","","","","","ALAS                          ","","3/1/2020 5:00",1978,1978,1978,"Exploratory",NA,1600303,1600105
"3","chunk_1_2","chunk_1_2",5432,"1-PAS-2A-PA",600510037000,"","1PAS 0002A PA","PA","Foz do Amazonas","Brasil","","","M","N","Exploratório","Pioneiro","SECO SEM INDÍCIOS","ABANDONADO PERMANENTEMENTE","10/18/1978 0:00","11/11/1978 0:00","11/11/1978 0:00","Público","+01:46:14,547","-48:14:46,792",1.7707075,-48.2463311111,"SIRGAS2000","Definitiva","Vertical",NA,2276,NA,"MR",24.7,NA,38.4,"NM",NA,"","","","","Existe","Existe","","","","Existe","","","","Existe","Existe","","","","","","Existe","ALAS                          ","","3/1/2020 5:00",1978,1978,1978,"Exploratory","Unsuccessfull",1600303,1600105
"4","chunk_1_3","chunk_1_3",5078,"1-APS-47-AP",120510041900,"","1APS 0047  AP","AP","Foz do Amazonas","Brasil","","","M","N","Exploratório","Pioneiro","ABANDONADO POR ACIDENTE MECÂNICO","ABANDONADO PERMANENTEMENTE","12/29/1980 0:00","1/4/1981 0:00","1/4/1981 0:00","Público","+02:27:51,431","-49:02:31,021",2.4642863888,-49.0419502777,"SIRGAS2000","Definitiva","Vertical",NA,278,NA,"MR",24,NA,18.3,"NM",NA,"","","","","","","","","","","","","","","","","","","","","","KEYG                          ","","3/1/2020 5:00",1980,1981,1981,"Exploratory",NA,1600105,1600204
"5","chunk_1_3","chunk_1_4",5678,"3-PP-1-APS",120510033500,"","3PP  0001  APS","AP","Foz do Amazonas","Brasil","","","M","N","Exploratório","Extensão","PRODUTOR SUBCOMERCIAL DE GÁS NATURAL","ABANDONADO POR LOGÍSTICA EXPLORATÓRIA","5/19/1976 0:00","6/26/1976 0:00","6/26/1976 0:00","Público","+03:29:32,945","-48:44:22,343",3.4924847222,-48.7395397222,"SIRGAS2000","Definitiva","Vertical",NA,3500,NA,"MR",33,NA,122,"NM",NA,"","","","","Existe","Existe","","","","Existe","","","","","","","","","","","","SS-2                          ","","3/1/2020 5:00",1976,1976,1976,"Exploratory","Successfull",1600204,1600204
"6","chunk_1_3","chunk_1_4",5894,"1-APS-6A-AP",120510029500,"","1APS 0006A AP","AP","Foz do Amazonas","Brasil","","","M","N","Exploratório","Pioneiro","SECO SEM INDÍCIOS","ABANDONADO PERMANENTEMENTE","5/17/1973 0:00","8/7/1973 0:00","8/7/1973 0:00","Público","+03:06:55,859","-49:09:37,642",3.1155163888,-49.1604561111,"SIRGAS2000","Definitiva","Vertical",NA,4714.6,NA,"MR",26.5,NA,84.7,"NM",NA,"","","","","Existe","Existe","","","","Existe","","","","","","","","","","","Existe","PA-6                          ","","3/1/2020 5:00",1973,1973,1973,"Exploratory","Unsuccessfull",1600204,1600204
"7","chunk_1_3","chunk_1_4",5900,"1-APS-6-AP",120510029400,"","1APS 0006  AP","AP","Foz do Amazonas","Brasil","","","M","N","Exploratório","Pioneiro","ABANDONADO POR ACIDENTE MECÂNICO","ABANDONADO PERMANENTEMENTE","2/27/1973 0:00","5/5/1973 0:00","5/5/1973 0:00","Público","+03:06:56,250","-49:09:27,926",3.115625,-49.1577572222,"SIRGAS2000","Definitiva","Vertical",NA,3899,NA,"MR",26.5,NA,83.2,"NM",NA,"","","","","Existe","Existe","","","","Existe","","","","","","","","","","","Existe","PA-6                          ","","3/1/2020 5:00",1973,1973,1973,"Exploratory",NA,1600204,1600204
"8","chunk_1_3","chunk_1_4",5637,"1-APS-22-AP",120510034300,"","1APS 0022  AP","AP","Foz do Amazonas","Brasil","","","M","N","Exploratório","Pioneiro","SECO SEM INDÍCIOS","ABANDONADO PERMANENTEMENTE","11/9/1976 0:00","1/17/1977 0:00","1/17/1977 0:00","Público","+03:43:49,529","-49:11:23,484",3.7304247222,-49.1898566666,"SIRGAS2000","Definitiva","Vertical",NA,3695,NA,"MR",33,NA,107,"NM",NA,"","","","","Existe","Existe","","","","Existe","","","","","","","","","","","Existe","SS-5                          ","","3/1/2020 5:00",1976,1977,1977,"Exploratory","Unsuccessfull",1600204,1600204
"9","chunk_1_3","chunk_1_4",5737,"1-APS-10B-AP",120510032300,"","1APS 0010B AP","AP","Foz do Amazonas","Brasil","","","M","N","Exploratório","Pioneiro","DESCOBRIDOR DE CAMPO COM GÁS NATURAL","ABANDONADO POR LOGÍSTICA EXPLORATÓRIA","9/23/1975 0:00","1/24/1976 0:00","1/24/1976 0:00","Público","+03:28:49,048","-48:42:45,901",3.4802911111,-48.7127502777,"SIRGAS2000","Definitiva","Vertical",NA,4265,NA,"MR",35,NA,135,"NM",NA,"","","","","Existe","Existe","","","","Existe","","","","","","","","","","","Existe","SS-2                          ","","3/1/2020 5:00",1975,1976,1976,"Exploratory","Successfull",1600204,1600204
"10","chunk_1_3","chunk_1_3",5368,"1-APS-38-AP",120510037600,"","1APS 0038  AP","AP","Foz do Amazonas","Brasil","","","M","N","Exploratório","Pioneiro","SECO SEM INDÍCIOS","ABANDONADO PERMANENTEMENTE","3/5/1979 0:00","5/6/1979 0:00","5/6/1979 0:00","Público","+02:34:15,676","-48:47:15,096",2.5710211111,-48.7875266666,"SIRGAS2000","Definitiva","Vertical",NA,4301,NA,"MR",25.5,NA,80.5,"NM",NA,"","","","","Existe","Existe","","","","Existe","","","","Existe","Existe","","","","","","Existe","KEYG                          ","","3/1/2020 5:00",1979,1979,1979,"Exploratory","Unsuccessfull",1600105,1600204
